Product ID;Active (0/1);Name *;Summary;Reference #;Categories (x,y,z...);Quantity;Description;Meta title;Meta keywords;Meta description;URL rewritten;Show price (0 = No, 1 = Yes);Delete existing images (0 = No, 1 = Yes)
1;1;Archeologia;3 millenni di arte e storia;;undefined;1;;Archeologia, Gabucci Ada;Archeologia, Gabucci Ada;Archeologia, Gabucci Ada;ArcheologiaGabucciAda;0;0;
2;1;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali;;;undefined;1;Ludovico Magrini, le testimonianze degli amici,gli scritti, l’associazione;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;19651995LudovicoMagriniunavitaperlarcheologia30annidavolontariperibeniculturaliAAVV;0;0;
3;1;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali;;;undefined;1;Ludovico Magrini, le testimonianze degli amici,gli scritti, l’associazione;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;1965-1995. Ludovico Magrini una vita per l’archeologia. 30 anni da volontari per i beni culturali, AAVV;19651995LudovicoMagriniunavitaperlarcheologia30annidavolontariperibeniculturaliAAVV;0;0;
4;1;Manuale del volontario in Archeologia;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;undefined;1;L'Archeologia come disciplina, piccola storia dell'Archeologia, il Volontariato e l'Archeologia, la ricognizione, lo scavo archeologico, la strumentazione di scavo, l'attività sui materiali, la fotografia archeologica, il disegno dei piccoli reperti, elementi di primo soccorso, glossario;Manuale del volontario in Archeologia, AAVV;Manuale del volontario in Archeologia, AAVV;Manuale del volontario in Archeologia, AAVV;ManualedelvolontarioinArcheologiaAAVV;0;0;
5;1;Manuale del volontario in Archeologia;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;undefined;1;;Manuale del volontario in Archeologia, AAVV;Manuale del volontario in Archeologia, AAVV;Manuale del volontario in Archeologia, AAVV;ManualedelvolontarioinArcheologiaAAVV;0;0;
6;1;La ricognizione  archeologica: raccolta e legislazione;;;undefined;1;La raccolta di superficie, la legislazione, esempio di lettera di denuncia di ritrovamento;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;LaricognizionearcheologicaraccoltaelegislazioneGroppelliGPerinARovidaASavoiaDZicariC;0;0;
7;1;La ricognizione  archeologica: raccolta e legislazione;;;undefined;1;La raccolta di superficie, la legislazione, esempio di lettera di denuncia di ritrovamento;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;La ricognizione  archeologica: raccolta e legislazione, Groppelli G., Perin A., Rovida A., Savoia D., Zicari C.;LaricognizionearcheologicaraccoltaelegislazioneGroppelliGPerinARovidaASavoiaDZicariC;0;0;
8;1;Tecniche di scavo;;;undefined;1;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;TecnichediscavoCorderaL;0;0;
9;1;Tecniche di scavo;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;undefined;1;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;TecnichediscavoCorderaL;0;0;
10;1;Tecniche di scavo;Tutto ciò che bisogna sapere per avvicinarsi correttamente all'indagine archeologica;;undefined;1;Tecniche di scavo, strati naturali ed antropici, ricognizioni, forma dello scavo, scavo sperimentale, scavo d'emergenza, il pubblico, le unità dello scavo, strati: volumi, superfici, tipi, superfici in sé numerare le azioni, sequenza stratigrafica, la documentazione, grafici e fotografie, sezioni e prospetti, piante di unità stratigrafiche, piante composite o di periodo, ricostruzioni grafiche, edizioni delle strutture, cronologia assoluta, saggi, aree, settori, comportamenti da tenere sullo scavo;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;Tecniche di scavo, Cordera L.;TecnichediscavoCorderaL;0;0;
11;1;Principi di stratigrafia archeologica;;;undefined;1;Il retroterra storico, strati, strati geologici e stratificazione, l'interfaccia nella stratificazione archeologica, gli archivi stratigrafici: la sezione archeologica, gli archivi stratigrafici: la pianta archeologica, correlazione, messa in fase e sequenze stratigrafiche,, manufatti, sequenze stratigrafiche e cronologia;Principi di stratigrafia archeologica, Harris E. C.;Principi di stratigrafia archeologica, Harris E. C.;Principi di stratigrafia archeologica, Harris E. C.;PrincipidistratigrafiaarcheologicaHarrisEC;0;0;
12;1;Manuale pratico di archeologia;;;undefined;1;Archeologia: definizioni, scopi, limiti,breve storia dell'archeologia, discipline e scienze ausiliarie dell'archeologia, l'archeologo, la preparazione, la tecnica di scavo, l'indagine archeologica, ricostruzione e conservazione, documentazione, scavi subacquei;Manuale pratico di archeologia, Frederic L.;Manuale pratico di archeologia, Frederic L.;Manuale pratico di archeologia, Frederic L.;ManualepraticodiarcheologiaFredericL;0;0;
13;1;Manuale di archeologia urbana;;;undefined;1;Identificazione dei depositi archeologici, la registrazione scritta, i disegni, matrix, il computer, le fotografie, l'attività di scavo e la campionatura, interpretazioni, considerazioni post-scavo, tavola che descrive l'ordine delle azioni da seguire durante la registrazione;Manuale di archeologia urbana, Perring D.;Manuale di archeologia urbana, Perring D.;Manuale di archeologia urbana, Perring D.;ManualediarcheologiaurbanaPerringD;0;0;
14;1;I resti  umani nello scavo archeologico;;;undefined;1;Archeologia e Antropologia. Considerazioni sull'approccio interdisciplinare, le tecniche di recupero dei resti ossei sul campo, i procedimenti di restauro in laboratorio, documentazione e conservazione, la determinazione del sesso e dell'età di morte. Analisi paleodemografica, osteometria e morfoscopia dello scheletro, identificazione e studio dei denti, i caratteri discontinui dello scheletro, lo studio paleopatologico dei resti umani, l'analisi chimica ed immunologica delle ossa, lo studio antropologico dei materiali incinerati, metodi fisici e chimici di datazione diretta;I resti  umani nello scavo archeologico, Borgognini Tarli S. e Pacciani E. (a cura di);I resti  umani nello scavo archeologico, Borgognini Tarli S. e Pacciani E. (a cura di);I resti  umani nello scavo archeologico, Borgognini Tarli S. e Pacciani E. (a cura di);IrestiumaninelloscavoarcheologicoBorgogniniTarliSePaccianiEacuradi;0;0;
15;1;Come rendere visibile l'invisibile;I metodi non invasivi di prospezione geofisica consentono di individuare strutture archeologiche rimaste sepolte e sconosciute per secoli, salvandole così dagli interventi distruttivi dell'attività umana;;undefined;1;I metodi non invasivi di prospezione geofisica, indagine magnetica, indagine magnetica e elettrica, indagine geoelettrica e georadar, Rovigo (chiesa del Cristo), Oderzo (Mutera), Villa Gritti, Este (Capodaglio), Este (cimitero), Campagna Lupìa (VE), Altino (VE);Come rendere visibile l'invisibile, Veronese S.;Come rendere visibile l'invisibile, Veronese S.;Come rendere visibile l'invisibile, Veronese S.;ComerenderevisibilelinvisibileVeroneseS;0;0;
16;1;Tutela archeologica e pianificazione;Atti del convegno tenutosi a Parma il 9 giugno 1989;;undefined;1;;Tutela archeologica e pianificazione, Marini Calvani M. (a cura di), Dezzi Bardeschi M., Lucchi L., Quilici L., Sasso D'Elia L., Bruzzi G., Tessoni M., Barbacini M., Parenti A., Bandini A., Giordani G., Allegri G., Peri S., Banzola V., Pagliettini G., Sto;Tutela archeologica e pianificazione, Marini Calvani M. (a cura di), Dezzi Bardeschi M., Lucchi L., Quilici L., Sasso D'Elia L., Bruzzi G., Tessoni M., Barbacini M., Parenti A., Bandini A., Giordani G., Allegri G., Peri S., Banzola V., Pagliettini G., Sto;Tutela archeologica e pianificazione, Marini Calvani M. (a cura di), Dezzi Bardeschi M., Lucchi L., Quilici L., Sasso D'Elia L., Bruzzi G., Tessoni M., Barbacini M., Parenti A., Bandini A., Giordani G., Allegri G., Peri S., Banzola V., Pagliettini G., Sto;TutelaarcheologicaepianificazioneMariniCalvaniMacuradiDezziBardeschiMLucchiLQuiliciLSassoDEliaLBruzziGTessoniMBarbaciniMParentiA;0;0;
17;1;La prospezione archeologica;;;undefined;1;I progressi scientifici e tecnologici consentono oggi agli archeologi di esplorare zone più ampie e di "scavare" a colpo sicuro per riportare alla luce i tesori nascosti nel sottosuolo.;La prospezione archeologica, Lerici C.M.;La prospezione archeologica, Lerici C.M.;La prospezione archeologica, Lerici C.M.;LaprospezionearcheologicaLericiCM;0;0;
18;1;Il sepolcreto di Bismantova;Altri oggetti del sepolcreto di Bismantova;;undefined;1;;Il sepolcreto di Bismantova, Chierici;Il sepolcreto di Bismantova, Chierici;Il sepolcreto di Bismantova, Chierici;IlsepolcretodiBismantovaChierici;0;0;
19;1;Ferrante Rittatore von Vonwiller;la vicenda archeologica con il museo civico di Cuneo;;undefined;1;;Ferrante Rittatore von Vonwiller, Mano L.;Ferrante Rittatore von Vonwiller, Mano L.;Ferrante Rittatore von Vonwiller, Mano L.;FerranteRittatorevonVonwillerManoL;0;0;
20;1;Homo faber 2;Attività didattica 1990\1991;;undefined;1;I metalli preziosi.Perle.Pietre preziose e semipreziose.Ambra.Osso,corno e avorio.Cuoio e pellami.Filatura.Tessitura.Abbigliamento.Vetro.;Homo faber 2, AA.VV.;Homo faber 2, AA.VV.;Homo faber 2, AA.VV.;Homofaber2AAVV;0;0;
21;1;Tecniche di scavo;Dispensa II;;undefined;1;;Tecniche di scavo, AA.VV.;Tecniche di scavo, AA.VV.;Tecniche di scavo, AA.VV.;TecnichediscavoAAVV;0;0;
22;1;Introduzione all'archeologia;;;undefined;1;;Introduzione all'archeologia, Kenyon M.K.;Introduzione all'archeologia, Kenyon M.K.;Introduzione all'archeologia, Kenyon M.K.;IntroduzioneallarcheologiaKenyonMK;0;0;
23;1;Manuale di archeologia cristiana;;;undefined;1;;Manuale di archeologia cristiana, Marucchi Orazio;Manuale di archeologia cristiana, Marucchi Orazio;Manuale di archeologia cristiana, Marucchi Orazio;ManualediarcheologiacristianaMarucchiOrazio;0;0;
24;1;per il disegno di manufatti litici;;;undefined;1;;per il disegno di manufatti litici, Pennacchioni Massimo;per il disegno di manufatti litici, Pennacchioni Massimo;per il disegno di manufatti litici, Pennacchioni Massimo;perildisegnodimanufattiliticiPennacchioniMassimo;0;0;
25;1;Tecniche del restauro archeologico;;;undefined;1;;Tecniche del restauro archeologico, Mano Livio;Tecniche del restauro archeologico, Mano Livio;Tecniche del restauro archeologico, Mano Livio;TecnichedelrestauroarcheologicoManoLivio;0;0;
26;1;Note per una classificazione delle ceramiche preistoriche;;;undefined;1;;Note per una classificazione delle ceramiche preistoriche, Guerreschi;Note per una classificazione delle ceramiche preistoriche, Guerreschi;Note per una classificazione delle ceramiche preistoriche, Guerreschi;NoteperunaclassificazionedelleceramichepreistoricheGuerreschi;0;0;
27;1;La fotografia archeologica;;;undefined;1;;La fotografia archeologica, Necci Maurizio;La fotografia archeologica, Necci Maurizio;La fotografia archeologica, Necci Maurizio;LafotografiaarcheologicaNecciMaurizio;0;0;
